Title,Genre(s),Developer(s),Publisher(s)
Grand Theft Auto V,"Action-adventure, open world",Rockstar North,Rockstar Games
Graveyard Keeper,"Adventure, Role-playing",Lazy Bear Games,Lazy Bear Games
GreedFall,Action role-playing,Spiders,Focus Home Interactive
Gunvolt Chronicles Luminous Avenger iX,"Side-scrolling action, run 'n gun",Inti Creates,Inti Creates
Halo The Master Chief Collection,First-person shooter,343 Industries,Xbox Game Studios
Halo Spartan Assault,Top-down shooter,343 IndustriesVanguard Games,Xbox Game Studios
Halo 5 Guardians,First-person shooter,343 Industries,Microsoft Studios
Halo Infinite,First-person shooter,343 Industries,Xbox Game Studios
Halo Wars 2,Real-time Strategy,Creative Assembly,Xbox Game Studios
Hand of Fate 2,Action-adventurerole-playing,Defiant Development,Defiant Development
Hard Reset Redux,Shooter,Flying Wild Hog,Gambitious Digital Entertainment
Hardspace Shipbreaker,Simulation,Blackbird Interactive,Focus Home Interactive
Has-Been Heroes,"Action, Strategy",Frozenbyte,GameTrust
A Hat in Time,Platform,Gears for Breakfast,Humble Bundle
Headlander,"Platformer, Metroidvania",Double Fine Productions,Adult Swim Games
Hello Neighbor,"Stealth, Survival Horror",Dynamic Pixels,TinyBuild
Hellpoint,Action role-playing,Cradle Games,TinyBuild
Her Majesty's Spiffing,Adventure,Billy Goat Entertainment,Billy Goat Entertainment
Hogwarts Legacy,Action-role playing,Avalanche Software,Portkey Games
Homefront The Revolution,Shooter,Dambuster Studios,Deep Silver
Horizon Chase Turbo,Racing,Aquiris Game Studio,Aquiris Game Studio
Hotel Transylvania 3 Monsters Overboard,Adventure,Torus Games,Outright Games
Hotline Miami Collection,Shooter,Dennaton Games,Devolver Digital
Hot Wheels Unleashed,Racing,Milestone,Milestone
House Flipper,Simulation,Frozen District,Frozen District
Human Fall Flat,Puzzle platformer,Tomas Sakalauskas,Curve Digital
Hyper Light Drifter,Action-adventurerole-playing,Heart Machine,Heart Machine
Hyper Void,Shooter,Framez Technology,Framez Technology
HyperParasite,Twin-stick shooter,Troglobytes Games,Hound Picked Games
I Am Bread,Puzzle,Bossa Studios,Bossa Studios
I Am Dead,Adventure,Hollow Ponds,Annapurna Interactive
Ikenfell,Tactical role-playing,Happy Ray Games,Humble Games
Industry Giant II,Simulation,JoWooD Entertainment,UIG Entertainment
Injustice 2,Fighting,NetherRealm Studios,Warner Bros. Interactive Entertainment
Iron Harvest,Real-time strategy,King Art Games,Deep Silver
Ironcast,Strategy,Dreadbit,Ripstone
Ittle Dew 2,Action-adventure,Ludosity,Nicalis
The Jackbox Party Pack,Partytrivia,Jackbox Games,Jackbox Games
Jet Car Stunts,Racing,Grip Digital,Grip Digital
Joe Dever's Lone Wolf,Role-playing,Forge Reply,505 Games
John Wick Hex,Actionstrategy,Bithell Games,Good Shepherd Entertainment
The Journey Down,Point & Click Adventure,Skygoblin,BlitWorks
Journey to the Savage Planet,Action-adventure,Typhoon Studios,505 Games
Jump Force,Fighting,Spike Chunsoft,Bandai Namco Entertainment
JumpJet Rex,Action & Adventure,TreeFortress Games,Loot Interactive
Jurassic World Evolution,Business simulation,Frontier Developments,Frontier Developments
Just Cause 3,Third-person shooteraction-adventureopen world,Avalanche Studios,Square Enix
Just Cause 4,Action-adventure,Avalanche Studios,Square Enix
Just Dance 2014,Rhythm,Ubisoft Milan,Ubisoft
Just Dance 2015,Rhythm,Ubisoft Paris,Ubisoft
Just Dance 2016,Rhythm,Ubisoft Paris,Ubisoft
Just Dance 2017,Rhythm,Ubisoft Paris,Ubisoft
Just Dance 2018,Rhythm,Ubisoft Paris,Ubisoft
Just Dance 2019,Rhythm,Ubisoft Paris,Ubisoft
Just Dance 2020,Rhythm,Ubisoft Paris,Ubisoft
Just Dance 2021,Rhythm,Ubisoft Paris,Ubisoft
Just Dance 2022,Rhythm,Ubisoft Paris,Ubisoft
Just Dance Disney Party 2,Rhythm,Ubisoft Paris,Ubisoft
Jydge,Shooter,10tons,10tons
Kamiko,Action-adventure,SkipmoreEsquadra,Flyhigh Works
Kentucky Route Zero,Adventure,Cardboard Computer,Annapurna Interactive
Keep Talking and Nobody Explodes,"Co-op puzzle, Party",Steel Crate,Steel Crate
Kerbal Space Program,"Space flight simulator, sandbox",SquadFlying Tiger,Private Division
Kick & Fennick,"Action & Adventure, Platformer",Abstraction Games,Abstraction Games
KickBeat Special Edition,"Music, rhythm",Zen Studios,Zen Studios
Killer Queen Black,Platformer,Liquid Bit,Liquid Bit
Killing Floor 2,First-person shooter,Tripwire Interactive,Iceberg Interactive
The King's Bird,Action,Serenity Forge,Graffiti Games
King's Bounty II,Tactical role-playing,1C Entertainment,Prime Matter
King's Quest,Action & Adventure,The Odd Gentlemen,Sierra Entertainment
Kingdom Come Deliverance,Action role-playingOpen world,Warhorse Studios,Deep Silver
Kingdom Hearts III,Action role-playing,Square Enix,Square Enix
Kingdom Hearts Melody of Memory,Action role-playing,Square Enix,Square Enix
Knockout City,Sports,Velan Studios,Electronic Arts
Krinkle Krusher,Action & Adventure,Ilusis Interactive Graphics,Ilusis Interactive Graphics
Kung Fu Panda Showdown of Legendary Legends,Fighting,Vicious Cycle Software,Little Orbit
Kunio-kun The World Classics Collection,Various,Arc System Works,Arc System Works
La-Mulana,Platformmetroidvania,Nigoro,Nippon Ichi Software
Lara Croft and the Temple of Osiris,Platformeraction,Crystal Dynamics,Square Enix
Laser League,Sports,Roll7,505 Games
Laserlife,Shooter,Choice Provisions,Choice Provisions
The Last Campfire,"Adventure, puzzle",Hello Games,Hello Games
The Last Door,Horroradventure,Game Kitchen,Plug In Digital
Late Shift,"FMV, Adventure",CtrlMovies,Wales Interactive
Layers of Fear,Horror,Bloober Team,Bloober Team
Legendary Eleven,Sports,Eclipse Games,Eclipse Games
Lego Batman 3 Beyond Gotham,Action-adventure,TT Games,Warner Bros. Interactive Entertainment
Lego City Undercover,Action-adventure,TT Games,Warner Bros. Interactive Entertainment
Lego DC Super-Villains,Action-adventure,TT Games,Warner Bros. Interactive Entertainment
Lego Jurassic World,Action-adventure,TT Games,Warner Bros. Interactive Entertainment
Lego Marvel Super Heroes,Action-adventure,TT Games,Warner Bros. Interactive Entertainment
Lego Marvel's Avengers,Action-adventure,TT Games,Warner Bros. Interactive Entertainment
Lego Movie Videogame,Action-adventure,TT Games,Warner Bros. Interactive Entertainment
Lego Movie Videogame 2,Action-adventure,TT Games,Warner Bros. Interactive Entertainment
Lego Ninjago Movie Video Game,Action-adventure,TT Games,Warner Bros. Interactive Entertainment
Lego Star Wars The Force Awakens,Action-adventure,TT Games,Warner Bros. Interactive Entertainment
Lego Star Wars The Skywalker Saga,Action-adventure,TT Games,Warner Bros. Interactive Entertainment
Lego The Incredibles,Action-adventure,TT Games,Warner Bros. Interactive Entertainment
Lego Worlds,Action-adventure,TT Games,Warner Bros. Interactive Entertainment
Legrand Legacy Tale of the Fatebounds,Role-playing,Semisoft,Another Indie
Leisure Suit Larry: Wet Dreams Don't Dry,Adventure,CrazyBunch,Assemble Entertainment
Leisure Suit Larry: Wet Dreams Dry Twice,Adventure,CrazyBunch,Assemble Entertainment
Leo's Fortune,Action-adventure,Tilting Point,1337 & Senri
Lethal League,Fighting,Team Reptile,Team Reptile
Let's Sing Country,Music,Voxler,Deep Silver
Lichdom Battlemage,Action & Adventure,Xaviant,Maximum Games
Lifeless Planet Premier Edition,Action-adventure,Stage 2 Studios,Stage 2 Studios
The Little Acre,Point & Click Adventure,Pewter Games Studios,Pewter Games Studios
Little Nightmares,Puzzle-platformer,Tarsier Studios,Bandai Namco Entertainment
Little Nightmares II,Action-adventure,Tarsier Studios,Bandai Namco Entertainment
Little Town Hero,Role-playing,Game Freak,Game Freak
Little Misfortune,Adventure,Killmonday Games,Killmonday Games
Lock's Quest,Strategy,Digital Continue,THQ Nordic
LocoCycle,"Racing, Vehicular combat",Twisted Pixel Games,Xbox Game Studios
Lonely Mountains Downhill,"Sports, Racing",Megagon Industries,Thunderfall Publishing
The Long Dark,Survival,Hinterland Studio,Hinterland Studio
Lords of the Fallen,Action role-playing,Deck13,City Interactive
Lost in Random,Action-adventure,Zoink,Electronic Arts
Lost Judgment,Action-adventure,Ryu Ga Gotoku Studio,Sega
Lovely Planet,Shooter,OuickTequila,TinyBuild
Lovers in a Dangerous Spacetime,"2D platform, shooter",Asteroid Base,Asteroid Base
Lumines Remastered,Puzzle,Resonair,Enhance Games
Machinarium,Adventure,Amanita Design,Amanita Design
Madden NFL 15,Sports,EA Tiburon,Electronic Arts
Madden NFL 16,Sports,EA Tiburon,Electronic Arts
Madden NFL 17,Sports,EA Tiburon,Electronic Arts
Madden NFL 19,Sports,EA Tiburon,Electronic Arts
Madden NFL 21,Sports,EA Tiburon,Electronic Arts
Madden NFL 22,Sports,EA Tiburon,Electronic Arts
Madden NFL 25,Sports,EA Tiburon,Electronic Arts
Mafia III,Action-adventureshooter,Hangar 13,2K Games
Manual Samuel,Adventure,Perfectly Paranormal,Curve Digital
Mark of the Ninja,Stealthaction,Klei Entertainment,Klei Entertainment
Marvel Puzzle Quest Dark Reign,Puzzle,WayForward Technologies,D3 Publisher
Marvel Ultimate Alliance,Action role-playing,Vicarious Visions,Activision
Marvel Ultimate Alliance 2,Action role-playing,Vicarious Visions,Activision
Marvel vs Capcom Infinite,Fighting,Capcom,Capcom
Massive Chalice,Turn-based tacticsreal-time strategy,Double Fine Productions,Double Fine Productions
Masters of Anima,Adventure,Passtech Games,Focus Home Interactive
Mega Man 11,Platformer,Capcom,Capcom
Mega Man X Collection,Platformer,Capcom,Capcom
Mega Man Zero ZX Legacy Collection,Actionplatformer,Capcom,Capcom
Megaton Rainfall,Action,Pentadimensional Games,Pentadimensional Games
Mercenary Kings,Action,Tribute Games,Tribute Games
Metal Gear Solid V Ground Zeroes,Action-adventurestealth,Kojima Productions,Konami
Metal Gear Solid V The Phantom Pain,Action-adventurestealth,Kojima Productions,Konami
Metal Gear Survive,Survival,Konami,Konami
Metal Wolf Chaos XD,Third-person shooter,FromSoftwareGeneral Arcade,Devolver Digital
Minecraft,Sandbox,Mojang,Xbox Game Studios
Minecraft Dungeons,Dungeon crawler,Mojang,Xbox Game Studios
Minecraft Story Mode,Graphic adventure,Telltale GamesMojang,Telltale Games
Mirror's Edge Catalyst,Action-adventureplatform,EA Digital Illusions CE,Electronic Arts
MLB The Show 21,Sports,San Diego Studio,Sony Interactive Entertainment
MLB The Show 22,Sports,San Diego Studio,Sony Interactive Entertainment
Monster Energy Supercross,Racing,Milestone srl,NA: Square EnixEU: Milestone srl
Monster Hunter World,Action role-playing,Capcom,Capcom
Mortal Kombat 11,Fighting,NetherRealm Studios,Warner Bros. Interactive Entertainment
Mortal Kombat X,Fighting,NetherRealm Studios,Warner Bros. Interactive Entertainment
Mount & Blade: Warband,Action role-playing,TaleWorlds Entertainment,TaleWorlds Entertainment
The Mummy Demastered,Adventure,WayForward Technologies,WayForward Technologies
Mutant Football League,"Action, Sports",Digital Dreams Entertainment,Digital Dreams Entertainment
Mutant Year Zero Road to Eden,"Strategy, Turn-based tactics",The Bearded Ladies,Funcom
Naruto Ultimate Ninja Storm,Fighting,CyberConnect2,Bandai Namco Entertainment
Naruto Shippuden Ultimate Ninja Storm 2,Fighting,CyberConnect2,Bandai Namco Entertainment
Naruto Shippuden Ultimate Ninja Storm 3,Fighting,CyberConnect2,Bandai Namco Entertainment
Naruto Shippuden Ultimate Ninja Storm 4,Fighting,CyberConnect2,Bandai Namco Entertainment
NASCAR Heat Evolution,"Racing, sports",Monster Games,704Games
NASCAR Heat 2,"Racing, sports",Monster Games,704Games
NASCAR Heat 3,"Racing, sports",Monster Games,704Games
NASCAR Heat 4,"Racing, sports",Monster Games,704Games
NBA 2K14,Sports,Visual Concepts,2K Sports
NBA 2K16,Sports,Visual Concepts,2K Sports
NBA 2K17,Sports,Visual Concepts,2K Sports
NBA 2K18,Sports,Visual Concepts,2K Sports
NBA 2K19,Sports,Visual Concepts,2K Sports
NBA 2K20,Sports,Visual Concepts,2K Sports
NBA 2K21,Sports,Visual Concepts,2K Sports
NBA 2K22,Sports,Visual Concepts,2K Sports
NBA Live 14,Sports,EA Tiburon,Electronic Arts
NBA Live 15,Sports,EA Tiburon,Electronic Arts
NBA Live 16,Sports,EA Tiburon,Electronic Arts
NBA Live 18,Sports,EA Tiburon,Electronic Arts
NBA Live 19,Sports,EA Tiburon,Electronic Arts
Need for Speed Heat,Racing,Ghost Games,Electronic Arts
Need for Speed Hot Pursuit Remastered,Racing,Criterion Games,Electronic Arts
Need for Speed Payback,Racing,Ghost Games,Electronic Arts
Need for Speed Rivals,Racing,Ghost Games,Electronic Arts
NHL 15,Sports,EA Canada,Electronic Arts
NHL 16,Sports,EA Canada,Electronic Arts
NHL 17,Sports,EA Canada,Electronic Arts
NHL 18,Sports,EA Canada,Electronic Arts
NHL 19,Sports,EA Vancouver,Electronic Arts
NHL 20,Sports,EA Vancouver,Electronic Arts
NHL 21,Sports,EA Vancouver,Electronic Arts
NHL 22,Sports,EA Canada,Electronic Arts
Nickelodeon All-Star Brawl,Fighting,Fair Play LabsLudosity,NA: GameMill EntertainmentEU: Maximum Games
Nidhogg 2,Fighting,Messhof,Messhof
Nier Automata,"Action role-playing, hack and slash",PlatinumGames,Square Enix
Night in the Woods,Adventure,Infinite Fall,Finji
Nine Parchments,Action,Frozenbyte,Frozenbyte
No Man's Sky,"Action-adventure, survival",Hello Games,505 Games
No Straight Roads,Action-adventure,Metronomik,Sold Out
Oceanhorn Monster of Uncharted Seas,Adventure,Cornfox & Bros.Engine Software,FDG Entertainment
Octopath Traveler,Role-playing,"Square Enix, Acquire",Square Enix
Odallus The Dark Call,"Side scrolling action, Retro",Joymasher,Digerati
Old Man's Journey,Adventure,Broken Rules,Broken Rules
OlliOlli,Skateboarding,Carbon,Curve Digital
OlliOlli2 Welcome to Olliwood,Skateboarding,Roll7,Team17
Olija,Action-adventure,Skeleton Crew Studio,Devolver Digital
Olympic Games Tokyo 2020 - The Official Video Game,Sports,Sega,Sega
Omensight,Action murder mystery,"Spearhead Games, Nephilim Game Studios",Digerati
OMORI,Role-playing,OMOCAT,Playism
One Finger Death Punch 2,"Fighting, action",Silver Dollar Games,Silver Dollar Games
One Piece Burning Blood,Fighting,Spike Chunsoft,Bandai Namco Entertainment
One-Punch Man A Hero Nobody Knows,Fighting,Spike Chunsoft,Bandai Namco
Oniken,"Retro, side-scrolling action",Joymasher,Digerati
Onrush,Racing,Codemasters,Codemasters
Ori and the Blind Forest,Metroidvania,Moon Studios,Xbox Game Studios
Ori and the Will of the Wisps,Metroidvania,Moon Studios,Xbox Game Studios
Osiris New Dawn,"Action, adventure, role-playing, massive multiplayer",Fenix Fire Entertainment,Reverb Triple XP
Our World is Ended,Visual novel,Red Entertainment,PQube
Outcast,Action Adventure,Appeal Studio,Bigben Interactive
Outer Wilds,First person adventure,Mobius Digital,Annapurna Interactive
The Outer Worlds,Action role-playing,Obsidian Entertainment,Private Division
Outlast,Survival horror,Red Barrels Studio,Red Barrels Studio
Outlast 2,Survival horror,Red Barrels Studio,Red Barrels Studio
Outward,Role-playing survival,Deep Silver,Nine Dots Studio
Overkill's The Walking Dead,First-person shooter,Overkill Software,505 Games
Owlboy,Platform-adventure,D-Pad Studio,D-Pad Studio
Pac-Man 256,Arcade,Hipster Whale3 Sprockets,Bandai Namco Entertainment
Pac-Man Championship Edition 2,Arcade,Bandai Namco Entertainment,Bandai Namco Entertainment
Panzer Dragoon Remake,Rail shooter,MegaPixel Studio,Forever Entertainment
Party Golf,"Sports, party game",Giant Margarita,Giant Margarita
PC Building Simulator,Simulation,The Irregular Corporation,The Irregular Corporation
Peggle 2,Puzzle,PopCap Games,Electronic Arts
Phantom Doctrine,"Strategy, turn-based tactics",CreativeForge Games,Good Shepherd Entertainment
Phoenix Point,Turn-based tactics,Snapshot Games,Snapshot Games
Pier Solar and the Great Architects,Role-playing,WaterMelon Games,WaterMelon Games
Pikuniku,Platformer,Sectordub,Devolver Digital
Pix the Cat,Puzzle,Pasta Games,Neko Entertainment
Planet Coaster Console Edition,Construction and management simulation,Frontier Developments,Frontier Developments
Planet of the Apes Last Frontier,Adventure,The Imaginati Studios,The Imaginarium
Planetbase,Turn-based strategy,Madruga Works,Madruga Works
Plants vs. Zombies Battle for Neighborville,Third-person shooter,PopCap Games,Electronic Arts
Plants vs. Zombies Garden Warfare,Tower defensethird-person shooter,PopCap Games,Electronic Arts
Plants vs. Zombies Garden Warfare 2,Tower defensethird-person shooter,PopCap Games,Electronic Arts
PlayerUnknown's Battlegrounds,Battle royale,Bluehole,Xbox Game Studios
Prince of Persia The Sands of Time Remake,Action-adventurehack and slash,Ubisoft PuneUbisoft Munbai,Ubisoft
Prison Architect,Simulation,Introversion Software,Double Eleven
Project Cars,Sim racing,Slightly Mad Studios,Bandai Namco Entertainment
Project Cars 2,Sim racing,Slightly Mad Studios,Bandai Namco Entertainment
Project Cars 3,Sim racing,Slightly Mad Studios,Bandai Namco Entertainment
Project Highrise Architect's Edition,Simulationstrategy,Somasim,Kalypso Media
Quantum Break,Third-person shooter,Remedy Entertainment,Xbox Game Studios
QUBE Director's Cut,Puzzle,Toxic Games,Toxic Games
RBI Baseball 14,Sports,MLB.com,MLB.com
Race With Ryan,Kart racing,3D Clouds,Outright Games
Rage 2,First-person shooter,Avalanche Studiosid Software,Bethesda Softworks
Rage of the Dragons,Fighting,QUByte Entertainment,QUByte Entertainment
Raid: World War II,Shooter,Lion Game Lion,Starbreeze Studios
Raiden V,Shoot 'em up,Moss,Moss
Railway Empire,Simulation,Gaming Minds Studios,Kalypso Media
Rare Replay,Compilation,Rare,Xbox Game Studios
The Raven Remastered,Adventure,King Art,THQ Nordic
Rayman Legends,Platform,Ubisoft Montpellier,Ubisoft
Red Dead Redemption 2,Action-adventure,Rockstar Games,Take-Two Interactive
Resident Evil HD Remaster,Survival horror,Capcom,Capcom
Resident Evil 0,Survival horror,Capcom,Capcom
Resident Evil 6,Survival horror,Capcom,Capcom
Resident Evil 7 Biohazard,Survival horror,Capcom,Capcom
Resident Evil Revelations,Survival horror,Capcom,Capcom
Resident Evil Revelations 2,Survival horror,Capcom,Capcom
Resident Evil Village,Survival horror,Capcom,Capcom
RetroMania Wrestling,Sports,RetroMania Studios,RetroMania Studios
Return of the Obra Dinn,Puzzle adventure,Lucas Pope,3909
Ride 2,Racing,Milestone srl,Bandai Namco Entertainment
Riders Republic,Sports,Ubisoft Annecy,Ubisoftcd
Road Redemption,Vehicular combat,DarkSeas Games,DarkSeas Games
Rocket League,Sports,Psyonix,Psyonix
Rocksmith 2014,Music,Red Storm Entertainment,Ubisoft
Rogue Legacy,Roguelike action RPG,Cellar Door Games,Cellar Door Games
Rogue Stormers,Run and gun,Black Forest Games,Black Forest Games
Rogue Trooper Redux,Shooter,TickTock Games,Rebellion Developments
Romancing SaGa 2,Role-playing,Square Enix,Square Enix
Romancing SaGa 3,Role-playing,Square Enix,Square Enix
Rory McIlroy PGA Tour,Sports,EA Tiburon,EA Sports
R-Type Final 2,Shoot 'em up,Granzella,JP: GranzellaWW: NIS America
Rugby 15,Sports,HB Studios,Bigben Interactive
Rugby Challenge 3,Sports,Wicked Witch Software,Home Entertainment Suppliers Pty
Rugby League Live 3,Sports,Big Ant Studios,Home Entertainment Suppliers Pty
Ruined King A League of Legends Story,Role-playing,Airship Syndicate,Riot Forge
Runbow,Platformer,13AM Games,13AM Games
Saints Row Gat out of Hell,action-adventure,Voliton,Deep Silver
Saints Row IV Re-Elected,action-adventure,Voliton,Deep Silver
Salt and Sanctuary,Side Scrolling Action-RPG,Ska Studios,Ska Studios
Samurai Jack Battle Through Time,Actionfighting,Soleil Ltd.,Adult Swim Games
Samurai Shodown,Fighting,SNK,SNK
Samurai Warriors 5,Hack and slash,Omega Force,Koei Tecmo Games
Saturday Morning RPG,Role-playing,Mighty Rabbit Studios,Mighty Rabbit Studios
Sayonara Wild Hearts,"Music, racing",Simogo,Annapurna Interactive
Scarlet Nexus,Action role-playing,Bandai Namco,Bandai Namco
Screamride,Puzzle,Frontier Developments,Xbox Game Studios
Screencheat,First-person shooter,Surprise Attack Games,Surprise Attack Games
Scribblenauts Showdown,"Party, Puzzle",Shiver Entertainment,Warner Bros. Interactive Entertainment
Sea of Solitude,Adventure,Jo-Mei Games,Electronic Arts
Sea of Thieves,Action-adventure,Rare,Xbox Game Studios
Seasons After Fall,"Platform, puzzle",Swing Swing Submarine,Focus Home Interactive
Sébastien Loeb Rally Evo,Racing,Milestone srl,Milestone srl
Secret Neighbor,Asymmetric Multiplayer,Hologryph,TinyBuild
Sega Genesis Classics,Multiple,Sega,Sega
Sekiro Shadows Die Twice,Action-adventure,FromSoftware,Activision
Serious Sam 4,First-person shooter,Croteam,Devolver Digital
The Sexy Brutale,Adventurepuzzle,Cavalier Game StudiosTequila Works,Tequila Works
Shadow Complex Remastered,Shooter,Chair EntertainmentHardsuit Labs,Epic Games
Shadow of the Tomb Raider,Action-adventure,Eidos Montreal,Square Enix
Shadow Tactics Blades of the Shogun,Real-time tacticsstealth,Mimimi Productions,Daedalic Entertainment
Shadow Warrior,First-person shooter,Flying Wild Hog,Devolver Digital
Shadow Warrior 2,First-person shooter,Flying Wild Hog,Devolver Digital
Shadow Warrior 3,First-person shooter,Flying Wild Hog,Devolver Digital
Shadowgate,Adventure,Abstraction Games,Abstraction Games
Shadows Awakening,Action role-playing,Games Farm,Kalypso Media
Shantae Half-Genie Hero,Platformadventure,WayForward Technologies,WayForward Technologies
Shantae and the Pirate's Curse,Platformadventure,WayForward Technologies,WayForward Technologies
Shantae and the Seven Sirens,Actionplatformer,WayForward Technologies,WayForward Technologies
Shellshock Live,Artillery,KChamp,KChamp
Shenmue I & II,Action-adventurerole-playing,D3T,Sega
Sherlock Holmes Crimes & Punishments,Adventure,Frogwares,Focus Home Interactive
Sherlock Holmes The Devil's Daughter,Adventure,Frogwares,Bigben Interactive
Shiness The Lightning Kingdom,Role-playing,Enigami,Focus Home Interactive
Shining Resonance Refrain,Role-playing,Media.Vision,Sega
Shovel Knight,"Action & adventure, platformer",Yacht Club Games,Yacht Club Games
The Sims 4,Life simulation,Maxis,Electronic Arts
Sine Mora EX,Shoot 'em up,Digital Reality,THQ Nordic
The Sinking City,"Adventure, horror",Frogwares,Bigben Interactive
Sinner Sacrifice for Redemption,Action role-playing,Dark Star Game Studios,Another Indie
Sky Force Anniversary,Shoot 'em up,Infinite Dreams,Infinite Dreams
Skylanders Imaginators,Platform,Toys For Bob,Activision
Skylanders Swap Force,Platform,Vicarious Visions,Activision
Skylanders SuperChargers,Platform,Vicarious Visions,Activision
Skylanders Trap Team,Platform,Beenox,Activision
Slain Back from Hell,Side-scrolling action,22nd Century Toys,Digerati
Slay the Spire,"Role-playing, Roguelike, Collectible card game",MegaCrit,Humble Bundle
Slime Rancher,Action-adventure,Monomi Park,Monomi Park
The Smurfs: Mission Vileaf,Action-adventure,OSome Studios,Microids
Sniper Elite 3,Tactical shooterstealth,Rebellion Developments,505 Games
Sniper Elite 4,Tactical shooterstealth,Rebellion Developments,Rebellion Developments
Sniper Elite V2 Remastered,Tactical shooterstealth,Rebellion Developments,Rebellion Developments
Sniper Ghost Warrior 3,Tactical shooterstealth,CI Games,CI Games
Sniper Ghost Warrior Contracts,Tactical shooterstealth,CI Games,CI Games
Sniper Ghost Warrior Contracts 2,Tactical shooterstealth,CI Games,CI Games
SNK 40th Anniversary Collection,Retro collection,Digital Eclipse,Other Ocean
Snooker 19,Sports,Lab42,Ripstone
Soda Drinker Pro,Simulator,Snowrunner,Snowrunner
Song of the Deep,Adventure,Insomniac Games,Insomniac GamesGameTrust Games
Songbringer,Action role-playing,Wizard Fu,Double Eleven
Sonic Colors Ultimate,Platformer,Blind Squirrel Games,Sega
Sonic Forces,Platformer,Sonic Team,Sega
Sonic Mania,Platformer,PagodaWest Games / Headcannon,Sega
Soulcalibur VI,Fighting,Project Soul,Namco Bandai Games
The Solus Project,"Survival, Adventure",Teotl Studios,Grip Games
Soul Axiom,"Adventure, Puzzle",Wales Interactive,Wales Interactive
South Park The Fractured but Whole,Role-playing,Ubisoft San Francisco,Ubisoft
South Park The Stick of Truth,Role-playing,Obsidian Entertainment,Ubisoft
Space Engineers,"Sandbox, Simulation",Keen Software House,Keen Software House
SpeedRunners,Platform,DoubleDutch Games,TinyBuild
SpellForce 3 Reforced,Real-time strategyrole-playing,Grimlore Games,THQ Nordic
Spyro Reignited Trilogy,Action & adventure,Toys For Bob,Activision
Star Wars Battlefront,ActionShooter,EA Digital Illusions CE,Electronic ArtsLucasArts
Stardew Valley,"Adventure, Role-playing",Eric Barone,Chucklefish
Starpoint Gemini 2,Space trading and combat gameRole-playing,Little Green Men Games,Little Green Men Games
State of Decay 2,Survival horror,Undead Labs,Xbox Game Studios
State of Mind,Adventure,Daedalic Entertainment,Daedalic Entertainment
The Station,Adventure,The Station Game,The Station Game
Stay,Adventure,Appnormals Team,PQube
"Stay Cool, Kobayashi-san!: A River City Ransom Story",Beat 'em up,Arc System Works,Arc System Works
Stealth Inc. 2: A Game of Clones,"Platform, stealth",Curve Studios,Curve Digital
Steamroll,Arcade-puzzler,Anticto,Anticto
SteamWorld Dig,"Platform, metroidvania",Image & Form,Image & Form
SteamWorld Dig 2,"Platform, metroidvania",Image & Form,Image & Form
Steel Rain X,"Shoot 'em up, strategy, role-playing",Polarity Flow,Polarity Flow
Steel Rats,Action,Tate Multimedia,Tate Multimedia
Steep,Sports,Ubisoft Annecy,Ubisoft
Steins;Gate 0,Visual novel,5pb.,Mages
Stela,Puzzle-platformer,Skybox Labs,Skybox Labs
Stellaris,4X Strategy,"Tantalus Media, Paradox Interactive",Paradox Interactive
Stellatum,Shoot 'em up,Satur Entertainment,Sometimes You
Steredenn,Shoot 'em up,Pixelnest Studio,Plug In Digital
Steven Universe: Save the Light,Role-playing,Grumpyface Studios,Cartoon Network Games
Stick It to the Man!,Platformer,Zoink,Ripstone
Stickbold! A Dodgeball Adventure,Sports,Game Swing,Curve Digital
Sticktype,Platformer,Mike Palotas,Mike Palotas
Stone,Adventure,Convict Games,Convict Games
Stories of Bethem: Full Moon,Action & Adventure,GuGames Development,GuGames Development
Stories: The Path of Destinies,Action role-playing,"Spearhead Games, Nephilim Game Studios",Digerati
Stories Untold,Adventurehorror,No Code,Devolver Digital
Storm Boy,Kids & Family,Blowfish Studios,Blowfish Studios
The Story Goes On,Roguelike Action-RPG,Scarecrow Arts,Kiss Publishing
Story of a Gladiator,"Action, Fighting",Brain Seal,Brain Seal
Straimium Immortaly,Roguelite shoot 'em up,"Antohony Case, Stage Clear Studios",Digerati
Stranded Deep,Survival,Beam Team Games,Beam Team Games
Stranded Sails: Explorers of the Cursed Isles,Survival adventure,Lemonbomb Entertainment,Merge Games
Strange Brigade,Third-person shooter,Rebellion Developments,Rebellion Developments
Stranger of Paradise: Final Fantasy Origin,Action role-playing,Team Ninja,Square Enix
Stranger of Sword City,"Japanese role-playing, dungeon crawler",Experience,Experience
Stranger Things 3: The Game,"Action-adventure, Retro",Bonusxp,Bonusxp
Street Fighter 30th Anniversary Collection,Fighting,Capcom,Capcom
Streets of Rage 4,Beat 'em up,"Lizardcube, Guard Crush Games, Sega",DotEmu
Streets of Rogue,Roguelite ARPG,Matt Dabrowski,TinyBuild
Street Outlaws: The List,Racing,Team6 Game Studios,GameMill Entertainment
Strength of the Sword: Ultimate,Fighting game,Ivent,Ivent
Strider,Action-adventureplatform,Double Helix Games,Capcom
Strike Suit Zero: Director's Cut,Space combat simulator,Born Ready Games,Born Ready Games
Stubbs the Zombie in Rebel Without a Pulse,Action,Wideload Games,Aspyr
Stunt Kite Party,"Action, Party",HandyGames,THQ Nordic
