Title,Genre(s),Developer(s),Publisher(s)
White Night,"Puzzle, survival horror",Osome Studio,Osome Studio
White Noise 2,Survival horror,Milkstone Studios,Milkstone Studios
Wick,Horror,Hellbent Games,Hellbent Games
Wildfire,Stealth,Sneaky Bastards,Humble Games
Windscape,Action-adventure,Magic Sandbox,Headup Games
Winter's Dream,Visual novel,Ebi-Hime,Sometimes You
Winx Club: Alfea Butterflix Adventures,"Adventure, Puzzle",Tsumanga Studios,Tsumanga Studios
The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red,CD ProjektWarner Bros. Interactive Entertainment
Without Escape,"Adventure, Puzzle",Bumpty Trail Games,EastAsiaSoft
The Witness,"Adventure, puzzle",Thekla,Thekla
Wizard of Legend,Action role-playing,Contingent99,Humble Bundle
Wizards of Brandel,"Role-playing, JRPG",Exe Create,Kemco
The Wolf Among Us,Graphic adventure,Telltale Games,Telltale Games
Wolfenstein: The New Order,First-person shooter,MachineGames,Bethesda Softworks
Wolfenstein: The Old Blood,First-person shooter,MachineGames,Bethesda Softworks
Wolfenstein: Youngblood,First-person shooter,MachineGames,Bethesda Softworks
Wolfenstein II: The New Colossus,First-person shooter,MachineGames,Bethesda Softworks
Wonder Boy: The Dragon's Trap,Action & Adventure,Lizardcube,DotEmu
Wondershot,Action & Adventure,Leikir Studio,Leikir Studio
Woodle Tree Adventures,Platformer,Fabio Ferrara,Chubby Pixel
Woodle Tree Adventures 2,Platformer,Fabio Ferrara,Chubby Pixel
Worbital,"Party game, artillery",Team Jolly Roger,Advanced Interactive Games
World Enduro Rally,Racing,GraphicDNA,GraphicDNA
World II: Hunting Boss,Fighting,Guangzhou Good Games / Taiwan OXON Game Studio,E-Home Entertainment
World of Final Fantasy Maxima,Role-playing,ToseSquare Enix,Square Enix
The World of Van Helsing: Deathtrap,Tower defenseAction role-playing,Neocore Games,Neocore Games
World War Z,Co-op shooter,Saber Interactive,Mad Dog Games
World War Z: Aftermath,First-person shooter,Saber Interactive,Saber Interactive
World to the West,Action & Adventure,Rain Games,Soedesco
Worlds of Magic: Planar Conquest,Strategy,Teyon,Maximum Games
