Title,Genre(s),Developer(s),Publisher(s)
Alaloth: Champions of The Four Kingdoms,Action role-playing,Gamera,Gamera
Alan Wake Remastered,Action-adventure,Remedy Entertainment,Epic Games Publishing
Alba: A Wildlife Adventure,Adventure,Ustwo,Ustwo
Alekhine's Gun,Actionstealth,Haggard Games,Maximum Games
Aleste Collection,Shoot 'em up,M2,M2
Alex Kidd in Miracle World DX,Platform,Merge GamesJankenteam,Merge Games
Alienation,Shoot 'em up,Housemarque,Sony Interactive Entertainment
Alien: Isolation,Survival horror,Creative Assembly,Sega
The Alliance Alive HD Remastered,Role-playing,Cattle Call,JP: FuRyuWW: NIS America
All-Star Fruit Racing,Racing,Blowfish Studios,Blowfish Studios
Alone with You,Adventure,Benjamin Rivers,Benjamin Rivers
The Alto Collection,Endless runner,Team Alto,Snowman
Alwa's Awakening,Platform,Elden Pixels,Elden Pixels
Alwa's Legacy,Platform,Elden Pixels,Elden Pixels
Always Sometimes Monsters,Role-playing,Vagabond Dog,Devolver Digital
The Amazing American Circus,Business simulation,Juggler Games,Klabater
Amazing Discoveries in Outer Space,Platform,Cosmic Picnic,Cosmic Picnic
The Amazing Spider-Man 2,Action-adventure,Beenox,Activision
American Fugitive,Actionsandbox,JP: Teyon JapanWW: Curve Digital,Fallen Tree Games
Amnesia Collection,Adventuresurvival horror,Frictional Games,Frictional Games
Amnesia: Rebirth,Adventuresurvival horror,Frictional Games,Frictional Games
Amoeba Battle: Microscopic RTS Action,Real-time strategy,Grab Games,Grab Games
Among the Sleep,Survival horror,Krillbite Studio,Krillbite Studio
Among Us,Social deduction,Innersloth,Innersloth
Amplitude,Musicrhythm,Harmonix,Harmonix
Anarcute,Action,AnarTeam,AnarTeam
Ancestors Legacy,Real-time strategy,Destructive Creations,JP: DMM GamesWW: Destructive Creations
Ancestors: The Humankind Odyssey,Survival,Panache Digital Games,Private Division
Anew: The Distant Light,Actionpuzzle,Resonator,Resonator
AngerForce: Reloaded,Shoot 'em up,Screambox Studio,Zodiac Interactive
Angry Birds Star Wars,Puzzle,Exient Entertainment,Activision
The Angry Video Game Nerd I & II Deluxe,Platform,FreakZone Games,Screenwave Media
Anima: Gate of Memories,Action role-playing,Anima Project,BadLand Games
Anime Studio Story,Simulation,Kairosoft,Kairosoft
Ankora: Lost Days,Adventuresurvival,Chibig,Chibig
Anno: Mutationem,Action role-playing,ThinkingStars,ThinkingStars
Anodyne,Action-adventure,Analgesic Productions,Nnooo
Anodyne 2: Return to Dust,Action-adventure,Analgesic Productions,Ratalatika Games
Anoko wa Ore kara Hanarenai,Visual novel,Giga,Technical Group Laboratory
Anomaly 2,Real-time strategy,11 Bit Studios,11 Bit Studios
Anonymous;Code,Visual novel,MagesChiyomaru Studio,Mages
Another World: 20th Anniversary Edition,Cinematic platformer,The Digital Lounge,The Digital Lounge
Anthem,Action role-playing,BioWare,Electronic Arts
Antiquia Lost,Role-playing,Exe Create,Kemco
Aokana: Four Rhythm Across the Blue,Visual novel,Sprite,JP: SpriteWW: PQube
